Set number,Card name,Rarity,Value,IOS,IOS duplicate
176,Choice Belt,U,0.14,1,1
177,Clavell,C,0.08,1,0
178,Delivery Drone,U,0.1,0,0
179,Dendra,U,0.08,1,1
180,Falkner,U,0.08,0,0
181,Fighting Au Lait,U,0.11,0,0
182,Giacomo,U,0.12,0,0
183,Great Ball,C,0.06,0,0
184,Grusha,U,0.08,0,0
185,Iono,U,1.5,2,2
186,Practice Studio,U,0.18,0,0
187,Saguaro,U,0.11,0,0
188,Super Rod,C,0.21,1,1
189,Superior Energy R.,U,0.41,1,1
190,Jet Energy,U,0.73,1,1
191,Luminous Energy,U,0.31,1,1
192,Reversal Energy,U,1.07,1,1
193,Therapeutic Energy,U,0.31,1,1
194,Heracross,IR,5.5,3,2
195,Tropius,IR,7.19,2,2
196,Sprigatito,IR,9.08,3,2
197,Floragato,IR,10.46,3,2
198,Bramblin,IR,5.6,3,2
199,Fletchinder,IR,5.82,3,2
200,Pyroar,IR,8.6,2,2
201,Fuecoco,IR,13.23,2,2
202,Crocalor,IR,5.95,2,2
203,Magikarp,IR,29.2,3,2
204,Marill,IR,6.35,2,2
205,Eiscue,IR,6.66,3,2
206,Quaxly,IR,7.29,3,2
207,Quaxwell,IR,7.05,3,2
208,Frigibax,IR,8.97,2,2
209,Arctibax,IR,8.06,2,2
210,Baxcalibur,IR,11.17,2,2
211,Raichu,IR,11.71,2,2
212,Mismagius,IR,7.57,5,2
213,Gothorita,IR,5.36,2,2
214,Sandygast,IR,6.5,3,2
215,Rabsca,IR,5.07,2,2
216,Tinkatink,IR,10.94,2,2
217,Tinkatuff,IR,8.48,2,2
218,Paldean Tauros,IR,8.67,3,2
219,Sudowoodo,IR,4.45,3,2
220,Nacli,IR,5.65,2,2
221,Paldean Wooper,IR,5.75,3,2
222,Tyranitar,IR,22.77,3,2
223,Grafaiai,IR,6.25,2,2
224,Orthworm,IR,4.89,2,2
225,Rookidee,IR,8.91,3,2
226,Maushold,IR,9.77,5,3
227,Flamigo,IR,8.09,2,2
228,Farigiraf,IR,9.02,2,2
229,Dudunsparce,IR,6.32,2,2
230,Forretress ex,UR,8.62,2,2
231,Meowscarada ex,UR,7.84,2,2
232,Wo-Chien ex,UR,5.64,2,2
233,Skeledirge ex,UR,8.99,2,2
234,Chi-Yu ex,UR,8.37,2,2
235,Quaquaval ex,UR,6.2,2,2
236,Chien-Pao ex,UR,12.78,2,2
237,Bellibolt ex,UR,4.38,2,2
238,Slowking ex,UR,10.52,2,2
239,Dedenne ex,UR,11.14,2,2
240,Tinkaton ex,UR,7.81,2,2
241,Lycanroc ex,UR,4.98,2,2
242,Annihilape ex,UR,6.95,2,2
243,Ting-Lu ex,UR,7.31,2,2
244,Paldean Clodsire ex,UR,7.04,2,2
245,Copperajah ex,UR,6.42,2,2
246,Noivern ex,UR,6.02,2,2
247,Squawkabilly ex,UR,7.83,2,2
248,Boss's Orders,UR,13.86,2,2
249,Clavell,UR,5.88,2,2
250,Dendra,UR,8.84,2,2
251,Falkner,UR,7.23,2,2
252,Giacomo,UR,10.68,2,2
253,Grusha,UR,10.28,2,2
254,Iono,UR,35.73,2,2
255,Saguaro,UR,6.12,2,2
256,Meowscarada ex,SIR,30.71,2,2
257,Wo-Chien ex,SIR,23.42,2,2
258,Skeledirge ex,SIR,25.48,2,2
259,Chi-Yu ex,SIR,25.84,2,2
260,Quaquaval ex,SIR,16.11,3,2
261,Chien-Pao ex,SIR,42.38,2,2
262,Tinkaton ex,SIR,22.78,2,2
263,Ting-Lu ex,SIR,21.94,2,2
264,Squawkabilly ex,SIR,20.6,2,2
265,Boss's Orders,SIR,24.96,2,2
266,Dendra,SIR,29.3,2,2
267,Giacomo,SIR,18.59,2,2
268,Grusha,SIR,35,2,2
269,Iono,SIR,92.33,2,2
270,Saguaro,SIR,13.87,2,2
271,Meowscarada ex,HR,26.99,2,2
272,Skeledirge ex,HR,14.91,2,2
273,Quaquaval ex,HR,13.01,2,2
274,Chien-Pao ex,HR,18.28,2,2
275,Ting-Lu ex,HR,11.74,2,2
276,Super Rod,HR,17.55,2,2
277,Superior Energy R.,HR,13.5,2,2
278,Grass Energy,HR,9.38,2,2
279,Water Energy,HR,10.38,2,2
